,vmId,cluster,virtualDatacenter,ip_addresses,os,os_name,vmState,vCpu,vmName,vRam,vinfo_provisioned,vinfo_used,vmdkTotal,vmdkUsed
203,vm-129848,BRB-UCS-Windows-01,BRB,157.139.237.84,Microsoft Windows Server 2019 (64-bit),vCorePointP01.company.net,poweredOn,2,vCorePointP01,8.0,308.087890625,308.087890625,300.0,28.0185546875
204,vm-129849,BRB-UCS-Windows-01,BRB,157.139.237.89,Microsoft Windows Server 2019 (64-bit),vCorePointP02.company.net,poweredOn,2,vCorePointP02,8.0,308.1171875,308.1171875,300.0,28.59375
205,vm-3618,BRB-UCS-Windows-01,BRB,157.139.226.125,Microsoft Windows Server 2019 (64-bit),vcpath01.company.net,poweredOn,2,vcpath01,4.0,104.08203125,104.08203125,100.0,25.2060546875
206,vm-3615,BRB-UCS-Windows-01,BRB,157.139.226.138,Microsoft Windows Server 2019 (64-bit),vcpathdb01.company.net,poweredOn,2,vcpathdb01,8.0,108.1845703125,108.1845703125,100.0,38.1875
207,vm-5523,BRB-UCS-Linux-01,BRB,157.139.226.103,Microsoft Windows Server 2016 or later (64-bit),vCTX-CADP01.company.net,poweredOn,4,vCTX-CADP01,64.0,184.40625,184.40625,120.0,98.82421875
208,vm-5522,BRB-UCS-Linux-01,BRB,157.139.226.117,Microsoft Windows Server 2016 or later (64-bit),vCTX-CADP02.company.net,poweredOn,4,vCTX-CADP02,64.0,120.193359375,120.193359375,120.0,95.005859375
209,vm-4723,BRB-UCS-Windows-01,BRB,157.139.225.178,Microsoft Windows Server 2016 or later (64-bit),vDCORED024.company.net,poweredOn,2,vDCORED024,8.0,278.134765625,278.134765625,270.0,186.4384765625
210,vm-4737,BRB-UCS-Windows-01,BRB,157.139.225.167,Microsoft Windows Server 2016 or later (64-bit),vDCOREP023.company.net,poweredOn,8,vDCOREP023,192.0,682.44140625,682.44140625,490.0,351.185546875
211,vm-5467,BRB-UCS-Linux-01,BRB,157.139.225.198,Red Hat Enterprise Linux 7 (64-bit),vdcorep027.company.net,poweredOn,2,vDCOREP027,8.0,110.462890625,110.462890625,100.0,10.71484375
212,vm-5960,BRB-UCS-Windows-01,BRB,157.139.225.196,Microsoft Windows Server 2016 or later (64-bit),vDCOREP028.company.net,poweredOn,2,vDCOREP028,4.0,104.08203125,104.08203125,100.0,46.7724609375
